id;created_on;modified_on;modified_by;semester_id;faculty_id;designation_id;user_id
1;2020-03-05;2020-03-04;navigating Branding Prairie;1;1;1;2
2;2020-03-04;2020-03-05;Chair black;2;2;2;2
3;2020-03-05;2020-03-05;firmware;3;3;3;1
4;2020-03-05;2020-03-04;Guinea-Bissau;4;4;4;2
5;2020-03-05;2020-03-04;Tanzanian Shilling Cotton cross-platform;5;5;5;1
6;2020-03-04;2020-03-04;convergence;6;6;6;2
7;2020-03-05;2020-03-05;even-keeled Avon web-readiness;7;7;7;1
8;2020-03-05;2020-03-04;Iraqi Dinar Executive bandwidth;8;8;8;1
9;2020-03-04;2020-03-04;Divide Michigan;9;9;9;2
10;2020-03-05;2020-03-04;Incredible;10;10;10;2
