id;semester_id;name;short_name;status;start_date;end_date;created_on;modified_on;modified_by
1;65360;Small archive connect;Mills;ACTIVE;2020-03-05;2020-03-05;2020-03-04;2020-03-04;primary partnerships RSS
2;8513;Product Ergonomic Cotton Tuna;Product functionalities Infrastructure;INACTIVE;2020-03-04;2020-03-04;2020-03-05;2020-03-04;Morocco
3;61935;customized;connecting;INACTIVE;2020-03-05;2020-03-04;2020-03-05;2020-03-04;Tasty Steel Towels Solutions
4;54325;enable;Nevada Bedfordshire;INACTIVE;2020-03-04;2020-03-05;2020-03-05;2020-03-04;Program Montana next-generation
5;23896;backing up leading-edge Manager;Games;INACTIVE;2020-03-05;2020-03-05;2020-03-05;2020-03-05;Facilitator
6;49637;Ecuador Czech Koruna;SMTP Money Market Account;ACTIVE;2020-03-05;2020-03-04;2020-03-05;2020-03-05;Refined
7;56615;Wallis and Futuna incremental;copying Kentucky;ACTIVE;2020-03-05;2020-03-05;2020-03-05;2020-03-05;Vermont Underpass
8;28917;system Practical Fresh Sausages Executive;Chair;INACTIVE;2020-03-05;2020-03-05;2020-03-05;2020-03-05;Savings Account
9;41252;Squares;Research Wooden Unbranded Steel Pizza;ACTIVE;2020-03-05;2020-03-05;2020-03-04;2020-03-05;Argentina Virginia
10;42240;Generic Steel Tuna solid state Mountain;optimize;INACTIVE;2020-03-04;2020-03-04;2020-03-04;2020-03-05;hard drive Berkshire
